pays,apprenant,mot (interlangue),transcription automatique,transcription manuelle
FR,1120,ulisa,tak po prostu ulica niska obok szpitala po prostu skroczyć na na prawo pieśń ulica skręcić na prawo czy na lewo skręcić na prawo ulica juliesa i pieśń po prostu obok restauracja obok teatr obok szkoła uniwersytetowa i skroczyć na lewo ulica dobra pieśń po prostu i skroczyć na lewo dobra cztery do do do do do ulica dobra cztery jest tak muszę skręcić na lewo i ulica dobra cztery jest gdzie się znajduje jest na lewo na lewo,tak prosto ulisa niska obok ospital prosto i skroczie na na grawo piese ulisa skrecić na prawo ulisa żuliesa i pies pro proto proto ubak ubok restorancja ubok teatr i ubok skola juwersytet i skroczie na lewo ulisa dobra pies prosto i skroczie na lewo dobra dobra czery do es na dona la dona jest na lewo
FR,1120,ospital,,
FR,1120,skroczie,,
FR,1120,grawo,,
FR,1120,piese,,
FR,1120,ulisa,,
FR,1120,skrecić,,
FR,1120,ulisa,,
FR,1120,żuliesa,,
FR,1120,ubak,,
FR,1120,ubok,,
FR,1120,restorancja,,
FR,1120,ubok,,
FR,1120,ubok,,
FR,1120,skola,,
FR,1120,juwersytet,,
FR,1120,skroczie,,
FR,1120,ulisa,,
FR,1120,skroczie,,
FR,1120,czery,,
FR,1104,niskom,proszę iść prosto ulicę miską i za szpitalu proszę skręcić w prawo ulicę juliuska słowackiego a potem proszę iść prosto prosto obok teatru obok szkoły i za sklepem proszę iść w lewo ulicę dobrą i tutaj znajdujecie dobre 4 na lewo,proszę idź prosto ulice niskom i za szpitalu proszę skrencić w prawo ulice juliuska słowackiego i a potem proszę idź prosto prosto obok teatru obot szkoły i za sklepem proszę idź w lewo ulice dobron i tutaj znaduje cię dobre cztery na lewo
FR,1104,skrencić,,
FR,1104,juliuska,,
FR,1104,obot,,
FR,1104,dobron,,
FR,1104,znaduje,,
