pays,apprenant,mot (interlangue),mot (automatique),transcription automatique,transcription manuelle,erreur de déclinaison?,erreur de prononciation?
FR,1120,ulisa,ulica,tak po prostu ulica niska obok szpitala po prostu skroczyć na na prawo pieśń ulica skręcić na prawo czy na lewo skręcić na prawo ulica juliesa i pieśń po prostu obok restauracja obok teatr obok szkoła uniwersytetowa i skroczyć na lewo ulica dobra pieśń po prostu i skroczyć na lewo dobra cztery do do do do do ulica dobra cztery jest tak muszę skręcić na lewo i ulica dobra cztery jest gdzie się znajduje jest na lewo na lewo,tak prosto ulisa niska obok ospital prosto i skroczie na na grawo piese ulisa skrecić na prawo ulisa żuliesa i pies pro proto proto ubak ubok restorancja ubok teatr i ubok skola juwersytet i skroczie na lewo ulisa dobra pies prosto i skroczie na lewo dobra dobra czery do es na dona la dona jest na lewo,,oui
FR,1120,ospital,szpitala,,,oui,oui
FR,1120,skroczie,skroczyć,,,,oui
FR,1120,grawo,prawo,,,,oui
FR,1120,piese,pieśń,,,,oui
FR,1120,ulisa,ulica,,,,oui
FR,1120,skrecić,skręcić,,,,oui
FR,1120,ulisa,ulica,,,,oui
FR,1120,żuliesa,juliesa,,,,oui
FR,1120,ubak,obok,,,,oui
FR,1120,ubok,obok,,,,oui
FR,1120,restorancja,restauracja,,,oui,oui
FR,1120,ubok,obok,,,,oui
FR,1120,ubok,obok,,,,oui
FR,1120,skola,szkoła,,,oui,oui
FR,1120,juwersytet,uniwersytetowa,,,oui,oui
FR,1120,skroczie,skroczyć,,,,oui
FR,1120,ulisa,ulica,,,,oui
FR,1120,skroczie,skroczyć,,,,oui
FR,1120,czery,cztery,,,,oui
FR,1104,niskom,miską,proszę iść prosto ulicę miską i za szpitalu proszę skręcić w prawo ulicę juliuska słowackiego a potem proszę iść prosto prosto obok teatru obok szkoły i za sklepem proszę iść w lewo ulicę dobrą i tutaj znajdujecie dobre 4 na lewo,proszę idź prosto ulice niskom i za szpitalu proszę skrencić w prawo ulice juliuska słowackiego i a potem proszę idź prosto prosto obok teatru obot szkoły i za sklepem proszę idź w lewo ulice dobron i tutaj znaduje cię dobre cztery na lewo,,oui
FR,1104,skrencić,skręcić,,,,oui
FR,1104,juliuska,juliuska,,,,oui
FR,1104,obot,obok,,,,oui
FR,1104,dobron,dobrą,,,,oui
FR,1104,znaduje,znajdujecie,,,,oui
FR,1110,niszka,niżka,tak tak uwaga uwaga proszę iść prosto to jest ulica niżka to jest to jest proszę iść prosto za hospitale stręczysz w prawo to jest ulica juliusza słowackiego proszę iść prosto prosto bądź w restauracji bądź w sklepie bądź w teatrze prosto prosto i za sklepem proszę proszę skręcić w prawo i dom znajduje się w numer 4 ulicy dobrej,tak tak waga waga proszę idź prosto to jest ulica niszka to jest to to proszę iść prosto za ospitalem szkrencisz w prawo to jest ulica julius juliusza słowackiego proszę idź prosto prosto obok restorauk restoraucje obok skała obok teatr prosto prosto i za sklepem proszę ploszę skrencisz w lewo i dom znazduje się numer sztery ulice dobre,oui,oui
FR,1110,ospitalem,hospitale,,,,oui
FR,1110,szkrencisz,stręczysz,,,,oui
FR,1110,julius,-,,,oui,oui
FR,1110,restorauk,-,,,oui,oui
FR,1110,restoraucje,restauracji,,,oui,oui
FR,1110,ploszę,proszę,,,,
FR,1110,skrencisz,skręcić,,,,oui
FR,1110,znazduje,znajduje,,,,oui
FR,1110,sztery,4,,,,oui
FR,1119,skrencić,skręcić,idź prosto na ulicę niska obok szpitala skręcić w prawo skręcić w prawo ok na ulicę jóliuska słowackiego idź prosto prosto prosto obok restauracja teatr szkoły uniwersytet obok sklepu skręcić w lewo na ulicę dobrą dom kowalskiego jest na lewo,idź prosto na ulica niska obok spita szpitalem skrencić w prosto na w prawo prawo na ulica juliuska słowackiego idź prosto prosto prosto obok restora restoracja teatr skoly uniwersytet obok sklep sklep skrencić w lewo na ulica dobry dom kowalskiego jest na lewo,,oui
FR,1119,juliuska,jóliuska,,,,oui
FR,1119,restora,-,,,,
FR,1119,restoracja,restauracja,,,oui,oui
FR,1119,skoly,szkoły,,,,oui
FR,1119,skrencić,skręcić,,,,oui
FR,1108,szken,-,dobrej 4 proszę iść prosto ulica niska prosto prosto szkęcisz na prawo ulica juliusza słowackiego dobrze ulica juliusza słowackiego dobrze idź prosto obok szkoły obok uniwersytetu proszę iść prosto i ulica dobra skręcisz na lewo znajdujesz się dom kowalska,dobrej cztery proszę idź prosto ulika niska prosto prosto szken szken szkensiś na prawo ulica dżoliesa slołackiego idź prosto obok skola obok uniwersitet proszę idź prosto i ulika dobra skręcisz na lewo najduje się dom kowalska,,oui
FR,1108,szken,-,,,,
FR,1108,szkensiś,szkęcisz,,,,oui
FR,1108,dżoliesa,juliusza,,,,
FR,1108,slołackiego,słowackiego,,,,oui
FR,1108,skola,szkoły,,,oui,oui
FR,1108,uniwersitet,uniwersytetu,,,oui,oui
FR,1108,najduje,znajdujesz,,,,oui
FR,1103,ulicza,ulicą,idź prosto za ulicą niską i za hospitale skręcić na prawo za ulicą żuliuska słowackiego idź prosto prosto i za sklep skręcić na lewo za ulicą dobrej 4,idź prosto za ulicza niska i za ospitalem skręcić na prawo za ulisza żuliuska slowakiego iść prosto prosto i za skret skręcić na lewo za ulicza dobra numer sztery,,oui
FR,1103,ospitalem,hospitale,,,,oui
FR,1103,ulisza,ulicą,,,oui,oui
FR,1103,żuliuska,żuliuska,,,,oui
FR,1103,slowakiego,słowackiego,,,,oui
FR,1103,skret,sklep,,,oui,oui
FR,1103,ulicza,ulicą,,,,oui
FR,1103,sztery,4,,,,oui
FR,1116,skre,-,skręcisz prawo do szpitala skręcisz ulicę juliuska skołaskiego proszę iść prosto obok teatru szkole a potem skręcisz w lewo za sklepem skręcisz w lewo ulicę dobrej skręcisz w lewo 4 ulicy dobrej skręcisz w lewo 4 ulicy dobrej skręcisz w lewo 4 ulicy dobrej znajdujesz się w domu skołalskim,skre skrencisz a prawo zły szpitalu skrencisz ulicze ju juliuska skołaskiego proszę idź prosto prosto obok teatru skuole a potem skręcisz a skrencisz w lewo złe sklepu spren skrencisz w lewo ulicze dobre skrencisz w lewo scztery ulisze dobre znaduje sie dom skowalski,,
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,ulicze,ulicę,,,,oui
FR,1116,juliuska,juliuska,,,,oui
FR,1116,skołaskiego,skołaskiego,,,,oui
FR,1116,skuole,szkole,,,oui,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,spren,-,,,,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,ulicze,ulicy,,,,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,scztery,4,,,,oui
FR,1116,ulisze,ulicy,,,oui,oui
FR,1116,znaduje,znajdujesz,,,,oui
FR,1116,sie,się,,,,oui
FR,1116,skowalski,skołalskim,,,oui,oui
FR,1113,poszę,proszę,proszę iść prosto na ulicę niska tak za szpitalem skręcisz prawo na ulicę józefowskiego proszę iść prosto obok restauracji obok teatru i obok sklepu za sklepem za sklepem skręcisz w lewo na ulicę dobra i znajdujesz się na lewo tak na lewo tak na ulicy dobrej 4 na lewo numer 4 ulica dobra,poszę idź prosto na ulica niska za szpitalem skrencisz prawo na ulica dżulieska skowalskiego poszę idź posto obok restoraczje obok teatry i obok sklepem za sklebe za sklepem zna skrencisz w ljewo na ulica dobra i znaduje się na lewo nie tak numer cztery ulica dobra,,oui
FR,1113,skrencisz,skręcisz,,,,oui
FR,1113,dżulieska,-,,,,oui
FR,1113,skowalskiego,józefowskiego,,,,oui
FR,1113,poszę,proszę,,,,oui
FR,1113,posto,prosto,,,,oui
